Date,TemperatureC,Summary
2025-12-09,3,Bracing
2025-12-10,8,Cool
2025-12-11,14,Mild
2025-12-12,18,Warm
2025-12-13,1,Freezing
2025-12-14,6,Bracing
2025-12-15,10,Chilly
2025-12-16,12,Cool
2025-12-17,16,Mild
2025-12-18,20,Warm
2025-12-19,22,Balmy
2025-12-20,28,Hot
2025-12-21,30,Sweltering
2025-12-22,33,Scorching
2025-12-23,-5,Freezing
2025-12-24,0,Bracing
2025-12-25,4,Chilly
2025-12-26,7,Cool
2025-12-27,11,Mild
2025-12-28,15,Warm
2025-12-29,19,Balmy
2025-12-30,24,Hot
2025-12-31,27,Sweltering
2026-01-01,31,Scorching
2026-01-02,-2,Freezing
2026-01-03,2,Bracing
2026-01-04,5,Chilly
2026-01-05,9,Cool
2026-01-06,13,Mild
2026-01-07,17,Warm
2026-01-08,21,Balmy
2026-01-09,25,Hot
2026-01-10,29,Sweltering
2026-01-11,32,Scorching
2026-01-12,-7,Freezing
2026-01-13,-1,Bracing
2026-01-14,3,Chilly
2026-01-15,6,Cool
2026-01-16,10,Mild
2026-01-17,14,Warm
2026-01-18,18,Balmy
2026-01-19,23,Hot
2026-01-20,26,Sweltering
2026-01-21,30,Scorching
2026-01-22,0,Freezing
2026-01-23,4,Bracing
2026-01-24,8,Chilly
2026-01-25,12,Cool
2026-01-26,16,Mild
2026-01-27,20,Warm
